jogador,nacao,posicao,idade,minPor90,gols,assist
Tchê Tchê, BRA,LT,29,6.6,0,0
Alerrandro, BRA,AT,22,6.3,5,0
Maycon, BRA,LT,25,5.4,0,0
Erick, BRA,"AT,LT",24,6.8,1,0
Adrián Martínez, ARG,AT,30,5.9,4,1
Henrique Almeida, BRA,AT,31,4.5,1,0
Luis Eduardo Marques dos Santos, BRA,ZG,25,4.7,0,1
Keno, BRA,"LT,AT",32,5.6,0,1
Rodrigo, BRA,ZG,24,3.3,0,0
Chayene Santos, BRA,"LT,AT",31,6.5,0,0
Bruno Praxedes, BRA,LT,20,5.0,1,2
Giuliano de Paula, BRA,LT,32,7.0,0,1
Cléber, BRA,"AT,LT",25,6.3,3,0
Valdemir, BRA,LT,25,5.1,0,1
Matheus Cavichioli, BRA,G,35,4.0,0,0
Edson, BRA,"LT,ZG",24,4.0,0,0
Eduardo Vargas, CHI,"LT,AT",32,5.3,1,2
Jonathan Copete, COL,AT,34,3.1,0,0
Diego Gonçalves, BRA,"LT,ZG",27,5.4,2,0
Eric Ramires, BRA,LT,21,6.4,0,0
João Victor, BRA,ZG,24,5.4,0,0
Fernando Sobral, BRA,LT,27,4.6,0,0
Rafael William, BRA,G,20,5.0,0,1
João Paulo, BRA,ZG,36,3.9,0,0
Luan Polli, BRA,G,29,2.0,0,0
Otávio, BRA,LT,28,7.2,0,0
Rafael Vaz, BRA,ZG,33,2.1,0,0
Lucas Piazon, BRA,"LT,AT",28,4.5,0,0
José Hurtado, ECU,ZG,20,5.4,0,1
Júnior Moraes, UKR,AT,35,4.5,0,0
Victor Luis, BRA,ZG,29,5.5,0,0
Guillermo de los Santos, URU,ZG,31,4.6,0,0
Paulinho, BRA,AT,24,3.2,0,1
Arthur Henrique, BRA,ZG,28,2.0,0,0
Réver, BRA,ZG,37,5.1,1,0
Nonoca, BRA,LT,24,1.8,0,0
Joel Carli, ARG,ZG,35,4.0,0,1
Kevin Lomónaco, ARG,ZG,20,5.1,0,0
Bruno Melo, BRA,"ZG,LT",29,4.1,0,0
Iury de Castilho, BRA,"LT,AT",26,4.7,0,1
Matías Galarza, PAR,LT,20,4.0,0,0
Raúl Cáceres, PAR,ZG,30,4.2,1,1
Lucas Lima, BRA,LT,22,1.3,0,0
Igor Rabello, BRA,ZG,27,3.7,0,1
Vinícius Leite, BRA,LT,28,1.5,0,0
Gustavo Sauer, BRA,LT,29,2.5,0,0
Bruno Tubarão, BRA,LT,27,5.0,0,0
Robson Bambu, BRA,ZG,24,2.9,0,0
Zé Roberto, BRA,AT,28,4.5,0,1
Bernanrdo Lemes, BRA,LT,20,4.2,0,0
Matheusinho, BRA,LT,24,3.6,0,0
Rickson, BRA,LT,24,0.8,0,0
Sávio, BRA,LT,18,2.4,1,0
Dentinho, BRA,AT,25,3.2,0,0
Romildo Del Piage, BRA,LT,22,5.0,0,0
Leonardo Realpe, ECU,ZG,21,4.0,0,0
Paulinho, BRA,LT,33,1.8,1,0
Geovane, BRA,LT,23,3.7,0,0
Régis, BRA,LT,29,3.4,0,0
Danilo Avelar, BRA,ZG,33,2.9,0,0
Leandro Barcia, URU,"AT,LT",29,0.3,0,0
Calebe, BRA,LT,22,2.0,0,0
Jean Pyerre, BRA,LT,24,3.0,1,0
Kayque, BRA,LT,22,3.1,1,0
Ramon, BRA,ZG,21,4.0,0,0
Gustavo Mosquito, BRA,"LT,AT",24,3.3,1,1
Lucas Ribeiro, BRA,"LT,ZG",23,2.3,1,0
Robinho, BRA,LT,34,5.3,0,0
Juan Pablo Ramírez, COL,"LT,AT",24,3.3,1,1
Gabriel Noga, BRA,ZG,20,0.0,0,0
Guilherme Carvalho, BRA,LT,22,1.6,0,0
Renato, BRA,LT,32,2.2,0,0
Matheus Nascimento, BRA,AT,18,3.6,0,0
Miguel Silveira, BRA,"LT,AT",19,3.4,1,2
Budiga Roni, BRA,LT,23,3.3,0,0
Matheus Peixoto, BRA,AT,26,2.8,0,1
Clayton, BRA,AT,23,3.6,0,0
Zé Ricardo, BRA,LT,26,2.6,0,0
Jean Bonora, BRA,AT,19,17.0,17,11
Diego Godín, URU,ZG,36,1.0,0,0
Matheus Galdezani, BRA,LT,30,1.5,0,0
Diego, BRA,G,23,2.0,0,0
Jan Carlos Hurtado, VEN,AT,22,3.4,0,0
Matheus Donelli, BRA,G,20,2.0,0,0
Vinícius Machado, BRA,G,22,2.0,0,0
Diego Porfirio, BRA,ZG,22,3.2,0,0
Rodriguinho, BRA,LT,19,2.1,0,0
Michel Custódio, BRA,ZG,21,17.0,21,13
Jefferson Savarino, VEN,LT,25,1.0,2,0
Marcinho, BRA,AT,27,1.4,0,0
Willian Klaus, BRA,ZG,28,1.0,0,0
