jogador,nacao,posicao,idade,minPor90,desarmes
Luis Eduardo Marques dos Santos, BRA,ZG,25,4.7,3
Eduardo Vargas, CHI,"LT,AT",32,5.3,2
Cléber, BRA,"AT,LT",25,6.3,8
Giuliano de Paula, BRA,LT,32,7.0,3
Jonathan Copete, COL,AT,34,3.1,2
Diego Gonçalves, BRA,"LT,ZG",27,5.4,3
Eric Ramires, BRA,LT,21,6.4,10
Valdemir, BRA,LT,25,5.1,10
Matheus Cavichioli, BRA,G,35,4.0,0
Edson, BRA,"LT,ZG",24,4.0,8
Otávio, BRA,LT,28,7.2,11
Fernando Sobral, BRA,LT,27,4.6,9
João Victor, BRA,ZG,24,5.4,2
Rafael Vaz, BRA,ZG,33,2.1,0
Lucas Piazon, BRA,"LT,AT",28,4.5,4
José Hurtado, ECU,ZG,20,5.4,9
Rafael William, BRA,G,20,5.0,0
João Paulo, BRA,ZG,36,3.9,6
Luan Polli, BRA,G,29,2.0,0
Réver, BRA,ZG,37,5.1,4
Victor Luis, BRA,ZG,29,5.5,3
Júnior Moraes, UKR,AT,35,4.5,3
Nonoca, BRA,LT,24,1.8,2
Joel Carli, ARG,ZG,35,4.0,2
Kevin Lomónaco, ARG,ZG,20,5.1,0
Guillermo de los Santos, URU,ZG,31,4.6,4
Paulinho, BRA,AT,24,3.2,1
Arthur Henrique, BRA,ZG,28,2.0,5
Igor Rabello, BRA,ZG,27,3.7,2
Iury de Castilho, BRA,"LT,AT",26,4.7,3
Bruno Melo, BRA,"ZG,LT",29,4.1,0
Vinícius Leite, BRA,LT,28,1.5,2
Gustavo Sauer, BRA,LT,29,2.5,2
Bruno Tubarão, BRA,LT,27,5.0,2
Matías Galarza, PAR,LT,20,4.0,6
Raúl Cáceres, PAR,ZG,30,4.2,5
Lucas Lima, BRA,LT,22,1.3,1
Sávio, BRA,LT,18,2.4,1
Zé Roberto, BRA,AT,28,4.5,0
Robson Bambu, BRA,ZG,24,2.9,5
Dentinho, BRA,AT,25,3.2,3
Romildo Del Piage, BRA,LT,22,5.0,13
Leonardo Realpe, ECU,ZG,21,4.0,2
Bernanrdo Lemes, BRA,LT,20,4.2,6
Matheusinho, BRA,LT,24,3.6,3
Rickson, BRA,LT,24,0.8,2
Calebe, BRA,LT,22,2.0,3
Geovane, BRA,LT,23,3.7,2
Paulinho, BRA,LT,33,1.8,0
Jean Pyerre, BRA,LT,24,3.0,0
Kayque, BRA,LT,22,3.1,3
Ramon, BRA,ZG,21,4.0,4
Régis, BRA,LT,29,3.4,0
Danilo Avelar, BRA,ZG,33,2.9,4
Leandro Barcia, URU,"AT,LT",29,0.3,2
Guilherme Carvalho, BRA,LT,22,1.6,5
Lucas Ribeiro, BRA,"LT,ZG",23,2.3,0
Gustavo Mosquito, BRA,"LT,AT",24,3.3,1
Renato, BRA,LT,32,2.2,4
Matheus Nascimento, BRA,AT,18,3.6,3
Miguel Silveira, BRA,"LT,AT",19,3.4,6
Robinho, BRA,LT,34,5.3,8
Juan Pablo Ramírez, COL,"LT,AT",24,3.3,1
Gabriel Noga, BRA,ZG,20,0.0,0
Diego Godín, URU,ZG,36,1.0,2
Matheus Peixoto, BRA,AT,26,2.8,0
Budiga Roni, BRA,LT,23,3.3,3
Matheus Galdezani, BRA,LT,30,1.5,5
Diego, BRA,G,23,2.0,0
Jan Carlos Hurtado, VEN,AT,22,3.4,1
Clayton, BRA,AT,23,3.6,1
Zé Ricardo, BRA,LT,26,2.6,2
Jefferson Savarino, VEN,LT,25,1.0,1
Vinícius Machado, BRA,G,22,2.0,0
Matheus Donelli, BRA,G,20,2.0,0
Marcinho, BRA,AT,27,1.4,2
Willian Klaus, BRA,ZG,28,1.0,0
Renan, BRA,ZG,20,3.2,3
Diego Porfirio, BRA,ZG,22,3.2,3
Rodriguinho, BRA,LT,19,2.1,3
Fábio, BRA,AT,25,0.7,1
Marcos Victor, BRA,ZG,20,1.1,1
Robert Renan, BRA,ZG,18,2.0,0
Diego Matos, BRA,ZG,25,1.0,2
Douglas Borges, BRA,G,32,1.0,0
Carlos Eduardo, BRA,LT,25,2.6,3
Natanael, BRA,ZG,20,3.0,6
Wellington Paulista, BRA,AT,38,2.2,0
Wescley, BRA,LT,30,0.8,2
Bruno Méndez, URU,"LT,ZG",22,1.4,1
Rômulo, BRA,"AT,LT",27,1.8,3
Maranhão, BRA,LT,20,1.0,1
Guilherme Almeida Augusto, BRA,ZG,29,1.0,1
Nathan, BRA,ZG,19,1.5,2
Airton Moraes, BRA,G,28,1.0,0
Kelvyn, BRA,ZG,23,0.6,1
Jô, BRA,AT,35,2.2,1
Vitinho, BRA,LT,21,0.3,0
Jonathan, BRA,ZG,24,0.5,1
Weverson, BRA,LT,22,0.5,0
Warley, BRA,"LT,ZG",22,1.0,0
Carlos Alberto, BRA,AT,20,1.4,1
Dentinho, BRA,"AT,LT",33,0.4,1
Marllon Borges, BRA,ZG,30,15.0,15
Giovane, BRA,AT,18,2.0,1
Gustavo Santos, BRA,AT,20,0.2,0
Jefferson, BRA,LT,22,0.8,1
Welliton, BRA,AT,22,0.6,0
Hugo, BRA,LT,22,2.1,1
Arthur, BRA,ZG,19,0.6,0
João Victor, BRA,AT,18,0.2,0
Walter, BRA,G,34,14.0,1
Xavier, BRA,LT,22,1.3,1
Matheus Ribeiro, BRA,ZG,28,0.2,1
Lucas Mezenga, BRA,ZG,20,0.3,0
Nathan Camargo, BRA,LT,16,0.2,0
Márcio Silva, BRA,ZG,21,1.0,0
Gustavo Marques, BRA,ZG,20,0.5,0
Gabriel Barbosa, BRA,AT,25,12.9,5
Léo Rafael, BRA,LT,21,0.1,0
Uendel, BRA,ZG,33,13.6,6
João Pedro, BRA,ZG,25,1.3,0
Barreto, BRA,LT,26,0.3,2
Gabriel Novaes, BRA,AT,23,0.2,2
Neílton, BRA,LT,28,0.9,0
Kawê, BRA,AT,20,0.3,0
Everton Ribeiro, BRA,"LT,AT",33,12.3,15
João Lucas, BRA,ZG,24,13.5,33
Guilherme Biro, BRA,AT,18,0.8,2
Daniel Cruz, BRA,AT,21,0.1,1
Luiz Gabriel, BRA,LT,20,0.4,2
Flávio, BRA,LT,22,0.3,2
Ayrton Lucas, BRA,ZG,25,10.9,18
João Pedro Pepê, BRA,LT,24,10.4,19
Felipe Augusto, BRA,AT,18,0.8,0
Rikelmi, BRA,AT,20,0.0,0
Pablo Javier García, URU,LT,23,0.1,1
Juninho, BRA,LT,36,0.2,0
Giorgian De Arrascaeta, URU,LT,28,10.9,19
Alan Empereur, BRA,ZG,28,10.0,3
Fagner, BRA,ZG,33,0.4,1
Fábio, BRA,G,41,17.0,0
João Gomes, BRA,LT,21,10.2,29
Rafael Gava, BRA,LT,29,9.0,9
Wesley Ribeiro, BRA,LT,17,0.1,0
Germán Cano, ARG,AT,34,14.9,1
Marcelo, BRA,ZG,26,15.6,15
Matheuzinho, BRA,"ZG,LT",21,10.3,22
Valdívia, BRA,"LT,AT",27,8.3,7
André, BRA,LT,21,13.5,16
Tadeu, BRA,G,30,17.0,1
Moises, BRA,"AT,LT",25,12.6,5
Willian Arão, BRA,"LT,ZG",29,10.2,4
Felipe Marques, BRA,"LT,AT",32,7.5,4
Ganso, BRA,LT,32,11.1,8
Dieguinho, BRA,"LT,ZG",26,13.8,16
Yago Pikachu, BRA,LT,30,13.4,9
Hugo Souza, BRA,G,23,10.0,1
André, BRA,AT,31,6.5,4
Manoel, BRA,ZG,32,12.0,7
Daniel, BRA,G,28,16.0,0
Reynaldo Cesar Moraes, BRA,ZG,25,13.6,14
Titi, BRA,ZG,34,12.9,7
Thiago Maia, BRA,"LT,ZG",25,8.9,13
